ID;TypeNum;TypeName;SCALEBEGINNINGNAME;UstName0;UstName1;UstName2;UstName3;UstName4;UstName5;UstName6;UstName7;UstName8;UstName9;UstName10;UstName11;SCALEENDNAME
2;150;"Базовый тип с наименованием по умолчанию";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Мин. пред.";"Мин. пред.";"Мин. тех.";"Макс. тех.";"Макс. пред.";"Макс. пред.";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
3;151;"Давление на выходе НПС";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Мин. пред.";"Мин. пред.";"Мин. тех.";"Запр. вкл. МНА";"Макс. пред.";"Макс. пред.";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
4;152;"Дискретные параметры с контролем целостности";"";"Обрыв";"Мин. авар.";"Мин. авар.";"Мин. пред.";"Мин. пред.";"Мин. тех.";"Макс. тех.";"Макс. пред.";"Макс. пред.";"Срабатывание";"Макс. авар.";"КЗ";""
5;153;"Температура воздуха в МНС (резерв)";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Вкл. прит. вент";"Откл. прит. вент.";"Откл. крыш. вент. 1";"Откл. крыш. вент. 2";"Вкл. крыш. вент.";"Макс. пред.";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
6;154;"Уровень в резервуаре для хранения топлива (резерв)";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Мин. пред.";"Мин. пред.";"Мин. тех.";"Макс. тех.";"Откл. нас. ЕП-20";"Макс. пред.";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
7;155;"Давление воды на выходе гидроаккумулирующего бака (резерв)";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Мин. пред.";"Мин. пред.";"Вкл. 2 насоса";"Откл. 1 насос";"Откл. 2 насоса";"Макс. пред.";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
8;156;"Параметры, отключающие агрегаты вспом. систем как контролируемые параметры конкретного агрегата";"";"Мин. авар.";"Мин. авар.";"Откл. насос";"Мин. пред.";"Мин. пред.";"Наб. давл";"Макс. тех.";"Макс. пред.";"Макс. пред.";"Откл. насос";"Макс. авар.";"Макс. авар.";""
9;157;"Уровень в ёмкости с автоматической откачкой";"";"Мин. авар.";"Мин. авар.";"Блок. насос";"Откл. насос";"Мин. пред.";"Мин. тех.";"Макс. тех.";"Макс. пред.";"Вкл. насос";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
10;158;"Все параметры, относящиеся к МНА/ПНА, за исключением особых (имеющих другой код, отличающийся от базового)";"";"Мин. авар.";"Мин. авар.";"Откл. НА";"Мин. пред.";"Запр. вкл. НА";"Мин. тех.";"Макс. тех.";"Запр. вкл. НА";"Макс. пред.";"Откл. НА";"Макс. авар.";"Макс. авар.";""
11;159;"Температура масла на выходе из охладителя смазочного масла";"";"Мин. авар.";"Мин. авар.";"Запр. вкл. НА";"Откл. АВОМ";"Мин. пред.";"Мин. тех.";"Макс. тех.";"Вкл. осн. охл.";"Вкл. рез. охл.";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
12;160;"Температура масла в маслобаке маслоустановки";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Вкл. ЭН";"Мин. пред.";"Мин. тех.";"Макс. тех.";"Макс. пред.";"Откл. ЭН";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
13;161;"Вибрации насоса/двигателя";"";"Запр. вкл. НА";"Откл. Недост";"Повыш. стац.";"Повыш. нестац.";"Повыш. вне раб. инт.";"Порог 1 стац.";"Порог 1 нестац.";"Порог 1 стац. вне раб. инт.";"Порог 2";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
14;162;"Сила тока МНА";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Мин. пред.";"Хол. ход";"Мин. тех.";"Макс. тех.";"Макс. пред.";"Макс. пред.";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
15;163;"Давление затворной жидкости на входе в торцовое уплотнение насоса (резерв)";"";"Мин. авар.";"Мин. авар.";"Откл. НА";"Вкл. 2 насоса";"Запр. вкл. НА";"Вкл. насоса";"Макс. тех.";"Макс. пред.";"Откл. насосов";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
16;164;"Частота вращения вала ЭД НА";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Блок. МН";"НА отключен";"Блок. АВР";"Макс. тех.";"Макс. пред.";"Макс. пред.";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
17;165;"Параметры температур НА";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Мин. пред.";"Мин. пред.";"Мин. тех.";"Макс. гор.пуск";"Макс. пред.";"Повышенная";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
18;166;"Уровень РВС (резерв)";"";"Ниж. авар.";"Ниж. допуст.";"Мин. авар.";"Ниж. нормат.";"Мин. пред.";"Мин. СРДО";"Макс. тех.";"Макс. пред.";"Верх. нормат.";"Авар. запас";"Верх. допуст.";"Верх. авар.";""
19;167;"Давление на входе МНС";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Мин. пред.";"Мин. пред.";"Мин. тех.";"Блок. НОУ";"Макс. пред.";"Макс. пред.";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
20;168;"Перепад давления";"";"Мин. авар.";"Мин. авар.";"Мин. авар.";"Мин. пред.";"Мин. пред.";"Мин. тех.";"Макс. тех.";"Макс. пред.";"Перекл. Ф";"Макс. авар.";"Макс. авар.";"Макс. авар.";""
