Дата;Время;Сообщение листа;Сообщение строки
"23.10.2019";"9:05:01";"Лист 'Пожар Извещатели' для шаблона 'APT_PI' отсутствует!";""
"23.10.2019";"9:05:01";"Лист 'Зоны' для шаблона 'APT_ST' отсутствует!";""
"23.10.2019";"9:05:01";"Лист 'Зоны' для шаблона 'APT_GPZ' отсутствует!";""
"23.10.2019";"9:05:01";"Лист 'Зоны' для шаблона 'APT_ATP' отсутствует!";""
"23.10.2019";"9:05:01";"Лист 'BD' для шаблона 'APT_UBD' отсутствует!";""
"23.10.2019";"9:05:01";"Лист 'BD' для шаблона 'APT_BDGRP' отсутствует!";""
"23.10.2019";"9:05:01";"Лист 'Зоны' для шаблона 'APT_GPZ_V' отсутствует!";""
"23.10.2019";"9:05:01";"Лист 'Зоны' для шаблона 'APT_GPZ_P' отсутствует!";""
"23.10.2019";"9:05:01";"Лист 'RPZV' для шаблона 'RPZV' отсутствует!";""
"23.10.2019";"9:05:01";"Лист 'ГИДРОМУФТА' для шаблона 'Hydro' отсутствует!";""
"23.10.2019";"9:05:01";"Для шаблона 'SDKU_DateTime' не указан лист!";""
"23.10.2019";"9:05:10";"Лист 'КЦКП' для шаблона 'CKCP' отсутствует!";""
"23.10.2019";"9:05:10";"Лист 'Диагностика устройств' для шаблона 'BKS' отсутствует!";""
"23.10.2019";"9:05:10";"Лист 'Диагностика устройств' для шаблона 'FLowMeter' отсутствует!";""
"23.10.2019";"9:05:10";"Для шаблона 'АРМ' не указан лист!";""
"23.10.2019";"9:05:10";"Для шаблона 'Integrity' не указан лист!";""
"23.10.2019";"9:05:10";"Для шаблона 'Прочее' не указан лист!";""
